[31966, 33394]
[47547, 34996]
[45682, 79832]
[2678, 2360]
[7088, 4938]
[62318, 25951]
[11986, 23545]
[38112, 32042]
[58022, 73127]
[20366, 15427]
[48177, 110201]
[20838, 43554]
[2309, 4200]
[21784, 51600]
[3849, 2425]
[21928, 18675]
[54457, 84122]
[39405, 68938]
[18602, 26938]
[37799, 31329]
[61485, 50394]
[271, 391]
[27118, 33183]
[11571, 10991]
[17420, 58617]
[38110, 38195]
[46844, 77393]
[41084, 25776]
[33804, 94412]
[15973, 6872]
[19935, 28540]
[24896, 16237]
[49022, 94176]
[13326, 12942]
[33746, 53228]
[7830, 5059]
[54388, 38912]
[14217, 6600]
[53149, 29142]
[37985, 9087]
[33445, 60882]
[31890, 48075]
[36424, 43814]
[55114, 41435]
[57369, 79205]
[47270, 127505]
[26295, 41673]
[58871, 54151]
[15795, 1031]
[54898, 72077]
[29328, 22846]
[26421, 12628]
[5433, 13264]
[27730, 15285]
[8976, 20447]
[8621, 19624]
[45687, 20321]
[14292, 20935]
[40986, 56259]
[45814, 41794]
[14728, 19706]
[10028, 14651]
[32090, 35103]
[54009, 90581]
[40695, 45043]
[15123, 16952]
[64900, 41073]
[49412, 51359]
[33539, 61187]
[65481, 52147]
[26678, 40904]
[984, 1594]
[37975, 51062]
[22329, 28719]
[14363, 11585]
[47844, 123486]
[14264, 41059]
[22969, 16701]
[13026, 6734]
[10961, 18747]
[52058, 26823]
[1724, 3219]
[44198, 29874]
[21994, 25933]
[30332, 27399]
[55805, 90854]
[34519, 106032]
[13589, 5033]
[19653, 34595]
[39127, 28322]
[6700, 3801]
[62373, 67154]
[47205, 115533]
[25649, 17587]
[45900, 39273]
[51038, 39468]
[30433, 56285]
[36501, 80727]
[60721, 55752]
[58203, 29477]
[52648, 20864]
[56256, 44245]
[32398, 21660]
[59727, 44446]
[21714, 7915]
[6862, 16771]
[33137, 55655]
[49721, 57637]
[25143, 13721]
[21869, 43040]
[22113, 50622]
[57536, 71098]
[32065, 70925]
[9994, 15022]
[58434, 27170]
[5078, 10450]
[35597, 63727]
[30461, 26012]
[37176, 28990]
[48426, 83630]
